Company Name,Ticker,Type,Stock Sector ,Industry Name ,Exchange ,FreeTrade,AJ Bell,Income Statement Investing,Balance Sheet Investing,Cash Flow Investing,Dividends Investing,Ratios Investing,Income Statement MorningStar,Balance Sheet MorningStar,Cash Flow MorningStar,Dividends MorningStar,Ratios MorningStar
1pm PLC,OPM,Stock,Financial Services,Credit Services,LSE,No,Yes,https://uk.investing.com/equities/1pm-plc-income-statement,https://uk.investing.com/equities/1pm-plc-balance-sheet,https://uk.investing.com/equities/1pm-plc-cash-flow,https://uk.investing.com/equities/1pm-plc-dividends,https://uk.investing.com/equities/1pm-plc-ratios,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=is&SecurityToken=0P00007YLT%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007YLT&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=bs&SecurityToken=0P00007YLT%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007YLT&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=cf&SecurityToken=0P00007YLT%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007YLT&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=div&SecurityToken=0P00007YLT%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007YLT&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=kr&SecurityToken=0P00007YLT%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007YLT&ClientFund=0&CurrencyId=BAS
1Spatial PLC,SPA,Stock,Technology,Software - Application,LSE,No,Yes,https://uk.investing.com/equities/1spatial-plc-income-statement,https://uk.investing.com/equities/1spatial-plc-balance-sheet,https://uk.investing.com/equities/1spatial-plc-cash-flow,https://uk.investing.com/equities/1spatial-plc-dividends,https://uk.investing.com/equities/1spatial-plc-ratios,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=is&SecurityToken=0P00007P3V%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007P3V&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=bs&SecurityToken=0P00007P3V%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007P3V&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=cf&SecurityToken=0P00007P3V%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007P3V&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=div&SecurityToken=0P00007P3V%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007P3V&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=kr&SecurityToken=0P00007P3V%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007P3V&ClientFund=0&CurrencyId=BAS
4d pharma PLC,DDDD,Stock,Healthcare,Biotechnology,LSE,No,Yes,https://uk.investing.com/equities/4d-pharma-plc-income-statement,https://uk.investing.com/equities/4d-pharma-plc-balance-sheet,https://uk.investing.com/equities/4d-pharma-plc-cash-flow,https://uk.investing.com/equities/4d-pharma-plc-dividends,https://uk.investing.com/equities/4d-pharma-plc-ratios,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=is&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=bs&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=cf&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=div&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=kr&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS
4imprint Group PLC,FOUR,Stock,Communication Services,Advertising Agencies,LSE,Yes,Yes,https://uk.investing.com/equities/4imprint-group-plc-income-statement,https://uk.investing.com/equities/4imprint-group-plc-balance-sheet,https://uk.investing.com/equities/4imprint-group-plc-cash-flow,https://uk.investing.com/equities/4imprint-group-plc-dividends,https://uk.investing.com/equities/4imprint-group-plc-ratios,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=is&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=bs&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=cf&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=div&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS,https://tools.morningstar.co.uk/uk/stockreport/default.aspx?tab=10&vw=kr&SecurityToken=0P000123OV%5D3%5D0%5DE0WWE%24%24ALL&Id=0P000123OV&ClientFund=0&CurrencyId=BAS
600 Group (The) PLC,SIXH,Stock,Industrials,Specialty Industrial Machinery,LSE,No,Yes,https://uk.investing.com/equities/600-group-plc-income-statement,https://uk.investing.com/equities/600-group-plc-balance-sheet,https://uk.investing.com/equities/600-group-plc-cash-flow,https://uk.investing.com/equities/600-group-plc-dividends,https://uk.investing.com/equities/600-group-plc-ratios,,,,,
7digital Group PLC,7DIG,Stock,Communication Services,Internet Content & Information,LSE,No,Yes,https://uk.investing.com/equities/ubc-media-group-plc-income-statement,https://uk.investing.com/equities/ubc-media-group-plc-balance-sheet,https://uk.investing.com/equities/ubc-media-group-plc-cash-flow,https://uk.investing.com/equities/ubc-media-group-plc-dividends,https://uk.investing.com/equities/ubc-media-group-plc-ratios,,,,,
888 Holdings PLC,888,Stock,Consumer Cyclical,Gambling,LSE,Yes,Yes,https://uk.investing.com/equities/888-holdings-income-statement,https://uk.investing.com/equities/888-holdings-balance-sheet,https://uk.investing.com/equities/888-holdings-cash-flow,https://uk.investing.com/equities/888-holdings-dividends,https://uk.investing.com/equities/888-holdings-ratios,,,,,
AA PLC,AA,Stock,Consumer Cyclical,Personal Services,LSE,No,Yes,https://uk.investing.com/equities/aa-plc-income-statement,https://uk.investing.com/equities/aa-plc-balance-sheet,https://uk.investing.com/equities/aa-plc-cash-flow,https://uk.investing.com/equities/aa-plc-dividends,https://uk.investing.com/equities/aa-plc-ratios,,,,,
AB Dynamics PLC,ABDP,Stock,Consumer Cyclical,Auto Parts,LSE,Yes,Yes,https://uk.investing.com/equities/ab-dynamics-income-statement,https://uk.investing.com/equities/ab-dynamics-balance-sheet,https://uk.investing.com/equities/ab-dynamics-cash-flow,https://uk.investing.com/equities/ab-dynamics-dividends,https://uk.investing.com/equities/ab-dynamics-ratios,,,,,
Abcam PLC,ABC,Stock,Healthcare,Biotechnology,LSE,Yes,Yes,https://uk.investing.com/equities/abcam-plc-income-statement,https://uk.investing.com/equities/abcam-plc-balance-sheet,https://uk.investing.com/equities/abcam-plc-cash-flow,https://uk.investing.com/equities/abcam-plc-dividends,https://uk.investing.com/equities/abcam-plc-ratios,,,,,
