,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,4.57,0.16,2.45,0.66,55.43,3.3,48.5
1,Elementis,11.48,0.6,11.48,0.58,66.2,3.11,35.44
2,Grafton,11.65,0.63,12.23,1.23,64.77,0.93,31.37
3,Hunting,12.89,0.52,6.19,0.41,4.2,1.72,45.84
4,Inchcape,5.89,0.19,12.39,1.45,52.64,1.92,33.35
5,Royal Mail,11.25,0.17,4.98,0.32,50.22,4.14,46.58
6,Biffa,11.29,0.54,6.2,1.25,134.94,1.2,13.54
7,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
8,Card Factory,2.92,0.33,3.22,0.68,132.51,6.58,33.14
9,TI Fluid Systems,7.84,0.33,8.63,0.95,113.14,1.38,32.91
